UBIGEO,n_ccpp,n_ipress_emergencia_baseline,A_raw_baseline,A_norm_baseline,total_atenciones,B_raw,B_norm,mean_dist_km_baseline,C_raw_baseline,C_norm_inverted_baseline,index_baseline,rank_baseline,n_ipress_emergencia_alt,A_raw_alt,A_norm_alt,mean_dist_km_alt,C_raw_alt,C_norm_inverted_alt,index_alt,rank_alt,rank_change_abs
180301,3,0,0.0,0.0,55303.0,18434.333333333332,0.017400434326520157,66.10453099836131,66.10453099836131,0.8076544090871182,0.2750182811378794,1655,2,0.6666666666666666,0.08333333333333333,4.76324944632472,4.76324944632472,0.9830821613458122,0.5167245225878695,17,1638
180201,15,0,0.0,0.0,0.0,0.0,0.0,57.7135788846912,57.7135788846912,0.8321441251798111,0.277381375059937,1638,1,0.06666666666666667,0.008333333333333333,2.7137678666039573,2.7137678666039573,0.9906818323793538,0.49742424952301023,77,1561
150509,27,0,0.0,0.0,11553.0,427.8888888888889,0.0004038905218609547,49.204086561422734,49.204086561422734,0.8569798110789462,0.285794567200269,1556,1,0.037037037037037035,0.004629629629629629,3.9552907535789124,3.9552907535789124,0.9860781483965448,0.4942974542361451,149,1407
110304,5,0,0.0,0.0,50329.0,10065.8,0.009501254462355746,57.10377321765011,57.10377321765011,0.8339238955151967,0.28114171665918414,1608,1,0.2,0.025,10.267910056633216,10.267910056633216,0.9626703605257538,0.48996049387846585,295,1313
150205,7,0,0.0,0.0,0.0,0.0,0.0,39.12291539937445,39.12291539937445,0.8864025769696241,0.29546752565654133,1424,0,0.0,0.0,2.396579031004892,2.396579031004892,0.9918579985034687,0.49592899925173434,111,1313
40307,5,0,0.0,0.0,2.0,0.4,3.775657955594487e-07,41.727215079575984,41.727215079575984,0.8788017041575243,0.2929340272411066,1463,1,0.2,0.025,7.3069599439296145,7.3069599439296145,0.9736498428621313,0.49307501582251456,186,1277
130301,48,0,0.0,0.0,377.0,7.854166666666667,7.413661714891258e-06,51.62095444387357,51.62095444387357,0.8499259741039571,0.28331112925522395,1586,1,0.020833333333333332,0.0026041666666666665,6.884943450459255,6.884943450459255,0.9752147198304525,0.4882602549973216,359,1227
40407,17,0,0.0,0.0,0.0,0.0,0.0,36.30522227150439,36.30522227150439,0.8946262569290713,0.2982087523096904,1371,0,0.0,0.0,3.552669096878694,3.552669096878694,0.9875711074805285,0.4937855537402642,164,1207
140307,24,0,0.0,0.0,0.0,0.0,0.0,52.27502943004898,52.27502943004898,0.8480169999496806,0.28267233331656016,1595,1,0.041666666666666664,0.005208333333333333,7.824574488241252,7.824574488241252,0.9717304793031376,0.4871673229849021,410,1185
30303,47,0,0.0,0.0,0.0,0.0,0.0,45.142867651369926,45.142867651369926,0.8688328280846608,0.2896109426948869,1519,1,0.02127659574468085,0.0026595744680851063,6.74824175943951,6.74824175943951,0.9757216225963805,0.4885257049152115,351,1168
40401,21,0,0.0,0.0,4961.0,236.23809523809524,0.00022298856092505058,38.48861043103186,38.48861043103186,0.8882538506249209,0.29615894639528195,1407,1,0.047619047619047616,0.005952380952380952,6.149812567420279,6.149812567420279,0.9779406544926486,0.4905141696246508,268,1139
250304,8,0,0.0,0.0,1613.0,201.625,0.0001903167588241846,59.473601448532776,59.473601448532776,0.8270073478127953,0.2757325548572065,1650,1,0.125,0.015625,11.21221501749824,11.21221501749824,0.9591687886507368,0.4835382235150745,541,1109
150201,30,0,0.0,0.0,35919.0,1197.3,0.0011301488175583197,45.01606952699098,45.01606952699098,0.8692028993262864,0.2901110160479482,1509,1,0.03333333333333333,0.004166666666666667,7.796938882901352,7.796938882901352,0.9718329547347171,0.4872406812384148,405,1104
220905,13,0,0.0,0.0,6.0,0.46153846153846156,4.3565284103013314e-07,45.614692671617696,45.614692671617696,0.8674557661452329,0.2891520672660246,1524,0,0.0,0.0,7.715384424951984,7.715384424951984,0.9721353663581572,0.4860677920922889,460,1064
180203,16,0,0.0,0.0,0.0,0.0,0.0,55.29911552572181,55.29911552572181,0.8391909443460221,0.2797303147820074,1620,0,0.0,0.0,9.323603740557454,9.323603740557454,0.96617193742602,0.48308596871301,558,1062
221001,74,0,0.0,0.0,32287.0,436.31081081081084,0.0004118400959874297,84.14863212953038,84.14863212953038,0.7549911465796064,0.25180099555853125,1769,1,0.013513513513513514,0.0016891891891891893,12.571649521965695,12.571649521965695,0.9541278772671831,0.4775891959548857,734,1035
150513,23,0,0.0,0.0,0.0,0.0,0.0,42.40996757951549,42.40996757951549,0.8768090322105763,0.2922696774035254,1474,0,0.0,0.0,7.681317185165381,7.681317185165381,0.9722616908969872,0.4861308454484936,456,1018
150124,8,0,0.0,0.0,95.0,11.875,1.1208984555671132e-05,23.745418684859434,23.745418684859434,0.9312831249280934,0.3104314446375497,1068,1,0.125,0.015625,2.4238037611562784,2.4238037611562784,0.9917570466358477,0.4997875755640628,51,1017
220907,19,0,0.0,0.0,358.0,18.842105263157894,1.7785336159247712e-05,44.775955030199654,44.775955030199654,0.8699036941558241,0.2899738264973278,1512,1,0.05263157894736842,0.006578947368421052,9.317992214893193,9.317992214893193,0.9661927454925412,0.4847455559224157,501,1011
150605,21,0,0.0,0.0,31867.0,1517.4761904761904,0.0014323677627491606,30.64860893792987,30.64860893792987,0.9111355699019933,0.30418931255491416,1249,1,0.047619047619047616,0.005952380952380952,6.040784032228881,6.040784032228881,0.9783449425862436,0.49101865847190435,247,1002
