UBIGEO,n_ccpp,n_ipress_emergencia,A_raw,A_norm,total_atenciones,B_raw,B_norm,mean_dist_km,C_raw,C_norm_inverted,index,rank,group
40126,1,1,1.0,0.2,1059418.0,1059418.0,1.0,0.7261133684745763,0.7261133684745763,0.9984669491488122,0.7328223163829373,1,top
140101,1,5,5.0,1.0,159446.0,159446.0,0.15050338959692963,3.5914201478580785,3.5914201478580785,0.9901043046485234,0.7135358980818176,2,top
150135,1,2,2.0,0.4,219593.0,219593.0,0.20727701436071502,0.3821963302757298,0.3821963302757298,0.9994707006314608,0.5355825716640585,3,top
150137,1,2,2.0,0.4,73321.0,73321.0,0.06920875424053584,0.9845512548944377,0.9845512548944377,0.9977126759292443,0.48897381005659335,4,top
130101,4,7,1.75,0.35,256097.0,64024.25,0.06043341721586758,2.5776562835190533,2.5776562835190533,0.9930630617581304,0.4678321596579993,5,top
150130,1,1,1.0,0.2,180997.0,180997.0,0.17084569074718384,0.4262568923781367,0.4262568923781367,0.9993421060879387,0.4567292656117075,6,top
150117,1,1,1.0,0.2,72001.0,72001.0,0.06796278711518966,1.8745554579806158,1.8745554579806158,0.9951151220450581,0.4210259697200826,7,top
120401,1,1,1.0,0.2,30491.0,30491.0,0.028780896681007875,1.5001792591126994,1.5001792591126994,0.9962077712102465,0.4083295559637515,8,top
130704,1,1,1.0,0.2,32115.0,32115.0,0.030313813810979237,2.955602909533655,2.955602909533655,0.9919599919939485,0.40742460193497587,9,top
200115,3,3,1.0,0.2,101829.0,33943.0,0.03203928949668591,3.646437995213784,3.646437995213784,0.9899437303247136,0.4073276732737998,10,top
160706,21,0,0.0,0.0,0.0,0.0,0.0,206.5156199926382,206.5156199926382,0.39785255833723243,0.13261751944574413,1803,bottom
160304,30,0,0.0,0.0,0.0,0.0,0.0,207.5371710153702,207.5371710153702,0.394871073735485,0.13162369124516166,1804,bottom
160404,15,0,0.0,0.0,0.0,0.0,0.0,217.2244958359961,217.2244958359961,0.3665977822971599,0.12219926076571996,1805,bottom
250204,20,0,0.0,0.0,0.0,0.0,0.0,221.05899730879216,221.05899730879216,0.3554064596494234,0.11846881988314113,1806,bottom
250401,35,0,0.0,0.0,0.0,0.0,0.0,228.2750744703592,228.2750744703592,0.33434571724549067,0.11144857241516355,1807,bottom
160110,17,0,0.0,0.0,0.0,0.0,0.0,287.2911535706343,287.2911535706343,0.1621022098948698,0.05403406996495659,1808,bottom
160803,7,0,0.0,0.0,0.0,0.0,0.0,308.8747071669037,308.8747071669037,0.09910875066836189,0.03303625022278729,1809,bottom
160401,50,0,0.0,0.0,0.0,0.0,0.0,309.54516324102406,309.54516324102406,0.09715196689872518,0.03238398896624173,1810,bottom
160403,35,0,0.0,0.0,0.0,0.0,0.0,322.3550792609636,322.3550792609636,0.0597651242317917,0.0199217080772639,1811,bottom
160804,1,0,0.0,0.0,0.0,0.0,0.0,342.8325030742245,342.8325030742245,0.0,0.0,1812,bottom
